Stock	Ticker	DivDate1	DivDate2	DivDate3	DivDate4	DivDate5	DivDate6	DivAmt1	DivAmt2	DivAmt3	DivAmt4	DivAmt5	DivAmt6	LastYrDivPerShare	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
NUVAMA	NSE:NUVAMA	11-11-2025	06-03-2025	11-07-2024	08-07-2024	0	0	14	13.8	0	0	0	0	27.8	0	0	0	0	0	14	0	0	0	0	14	0
NYKAA	NSE:NYKAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OBEROIRLTY	NSE:OBEROIRLTY	10/20/2025	7/25/2025	05-05-2025	1/24/2025	11-04-2024	08-01-2024	2	2	2	2	0	0	8	2	0	0	0	2	0	2	0	0	2	0	0
OFSS	NSE:OFSS	11-03-2025	05-08-2025	05-07-2024	05-09-2023	5/13/2022	5/17/2021	130	265	0	0	0	0	395	0	0	0	0	265	0	0	0	0	0	130	0
OIL	NSE:OIL	11/21/2025	09-04-2025	2/17/2025	11/14/2024	8/30/2024	3/18/2024	3.5	1.5	7	0	0	0	12	0	7	0	0	0	0	0	0	2	0	4	0
ONGC	NSE:ONGC	11/14/2025	09-04-2025	02-07-2025	11/19/2024	8/23/2024	2/16/2024	6	1.25	5	0	0	0	12.25	0	5	0	0	0	0	0	0	1	0	6	0
PERSISTENT	NSE:PERSISTENT	7/14/2025	1/31/2025	07-09-2024	1/30/2024	07-11-2023	1/25/2023	15	20	0	0	0	0	35	20	0	0	0	0	0	15	0	0	0	0	0
PETRONET	NSE:PETRONET	11/14/2025	07-04-2025	11-08-2024	07-12-2024	11-10-2023	8/18/2023	7	3	0	0	0	0	10	0	0	0	0	0	0	3	0	0	0	7	0
PFC	NSE:PFC	11/26/2025	8/18/2025	6/13/2025	3/19/2025	2/28/2025	11/25/2024	3.65	3.7	2.05	3.5	3.5	0	16.4	0	4	4	0	0	2	0	4	0	0	4	0
PIDILITIND	NSE:PIDILITIND	8/13/2025	7/23/2025	7/24/2024	7/27/2023	7/26/2022	7/27/2021	5	10	0	0	0	0	15	0	0	0	0	0	0	10	5	0	0	0	0
POWERGRID	NSE:POWERGRID	11-10-2025	8/19/2025	02-07-2025	11/14/2024	8/16/2024	2/15/2024	4.5	1.25	3.25	0	0	0	9	0	3	0	0	0	0	0	1	0	0	5	0
POWERINDIA	NSE:POWERINDIA	8/13/2025	8/14/2024	08-10-2023	7/14/2022	5/19/2021	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	6	0	0	0	0
PRAJIND	NSE:PRAJIND	08-04-2025	7/18/2024	7/19/2023	7/27/2022	08-03-2021	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	6	0	0	0	0
PSB	NSE:PSB	7/29/2025	7/16/2024	07-04-2023	07-04-2022	0	0	0.07	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0
RAILTEL	NSE:RAILTEL	11-04-2025	8/13/2025	04-02-2025	11-06-2024	8/14/2024	11-03-2023	1	0.85	1	0	0	0	2.85	0	0	0	1	0	0	0	1	0	0	1	0
